"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1611","Sort products by price low to high","","Thu May 14 14:47:52 UTC 2026","broken","Thu May 14 14:47:54 UTC 2026","","Product Filtering and Sorting","Sort products by price low to high",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1589","Toggle product list view","","Thu May 14 14:47:48 UTC 2026","broken","Thu May 14 14:47:49 UTC 2026","","Product Filtering and Sorting","Toggle product list view",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","7809","Navigation menu opens successfully","","Thu May 14 14:48:07 UTC 2026","broken","Thu May 14 14:48:15 UTC 2026","","Navigation Menu","Navigation menu opens successfully",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1588","Cart total matches sum of individual product prices","","Thu May 14 14:47:41 UTC 2026","broken","Thu May 14 14:47:43 UTC 2026","","Shopping Cart","Cart total matches sum of individual product prices",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1588","Cancel sort dialog returns to products page","","Thu May 14 14:47:56 UTC 2026","broken","Thu May 14 14:47:57 UTC 2026","","Product Filtering and Sorting","Cancel sort dialog returns to products page",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1594","Sort products Z to A","","Thu May 14 14:47:51 UTC 2026","broken","Thu May 14 14:47:52 UTC 2026","","Product Filtering and Sorting","Sort products Z to A",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1594","Login with multiple user types","","Thu May 14 14:48:02 UTC 2026","broken","Thu May 14 14:48:04 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1601","Continue shopping returns to products page","","Thu May 14 14:47:43 UTC 2026","broken","Thu May 14 14:47:44 UTC 2026","","Shopping Cart","Continue shopping returns to products page",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1595","Reset app state clears the cart","","Thu May 14 14:47:40 UTC 2026","broken","Thu May 14 14:47:41 UTC 2026","","Shopping Cart","Reset app state clears the cart",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1636","User can logout via navigation menu","","Thu May 14 14:48:15 UTC 2026","broken","Thu May 14 14:48:16 UTC 2026","","Navigation Menu","User can logout via navigation menu",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1599","Sort products A to Z","","Thu May 14 14:47:49 UTC 2026","broken","Thu May 14 14:47:51 UTC 2026","","Product Filtering and Sorting","Sort products A to Z",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","12814","Add single product and verify cart badge updates","","Thu May 14 14:46:52 UTC 2026","broken","Thu May 14 14:47:05 UTC 2026","","Shopping Cart","Add single product and verify cart badge updates",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","10297","Add multiple different products to cart","","Thu May 14 14:47:05 UTC 2026","broken","Thu May 14 14:47:15 UTC 2026","","Shopping Cart","Add multiple different products to cart",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1602","Checkout button navigates to address page","","Thu May 14 14:47:44 UTC 2026","broken","Thu May 14 14:47:46 UTC 2026","","Shopping Cart","Checkout button navigates to address page",""
"","1585","Verify User is able to handle maps","","Thu May 14 14:48:22 UTC 2026","broken","Thu May 14 14:48:23 UTC 2026","","Navbar functionality","Verify User is able to handle maps",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1585","Login with multiple user types","","Thu May 14 14:47:59 UTC 2026","broken","Thu May 14 14:48:00 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1594","Sort products by price high to low","","Thu May 14 14:47:54 UTC 2026","broken","Thu May 14 14:47:56 UTC 2026","","Product Filtering and Sorting","Sort products by price high to low",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1591","Valid login with standard user","","Thu May 14 14:47:57 UTC 2026","broken","Thu May 14 14:47:59 UTC 2026","","User Authentication","Valid login with standard user",""
"","2465","Verify User is able to navigating to about webpage","","Thu May 14 14:48:23 UTC 2026","broken","Thu May 14 14:48:26 UTC 2026","","Navbar functionality","Verify User is able to navigating to about webpage",""
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1594","QR code scanner opens from navigation menu","","Thu May 14 14:48:16 UTC 2026","broken","Thu May 14 14:48:18 UTC 2026","","Navigation Menu","QR code scanner opens from navigation menu",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1580","Invalid login with wrong password shows error","","Thu May 14 14:48:05 UTC 2026","broken","Thu May 14 14:48:07 UTC 2026","","User Authentication","Invalid login with wrong password shows error",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1581","Login with multiple user types","","Thu May 14 14:48:00 UTC 2026","broken","Thu May 14 14:48:02 UTC 2026","","User Authentication","Login with multiple user types",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","22720","Remove a product from within the cart","","Thu May 14 14:47:15 UTC 2026","broken","Thu May 14 14:47:38 UTC 2026","","Shopping Cart","Remove a product from within the cart",""
"  As a logged-in user
  I want to complete a full purchase
  So that I can verify the entire checkout journey works correctly","1609","Complete purchase flow from login to order confirmation","","Thu May 14 14:47:46 UTC 2026","broken","Thu May 14 14:47:48 UTC 2026","","End-to-End Purchase Flow","Complete purchase flow from login to order confirmation",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1607","Remove a product from the products page","","Thu May 14 14:47:38 UTC 2026","broken","Thu May 14 14:47:40 UTC 2026","","Shopping Cart","Remove a product from the products page",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1585","Login with multiple user types","","Thu May 14 14:48:04 UTC 2026","broken","Thu May 14 14:48:05 UTC 2026","","User Authentication","Login with multiple user types",""
