"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to access the navigation menu
  So that I can log out or use other menu features","1594","User can logout via navigation menu","","Mon May 18 13:08:48 UTC 2026","broken","Mon May 18 13:08:49 UTC 2026","","Navigation Menu","User can logout via navigation menu",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1597","Checkout button navigates to address page","","Mon May 18 13:08:23 UTC 2026","broken","Mon May 18 13:08:25 UTC 2026","","Shopping Cart","Checkout button navigates to address page",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1589","Continue shopping returns to products page","","Mon May 18 13:08:21 UTC 2026","broken","Mon May 18 13:08:23 UTC 2026","","Shopping Cart","Continue shopping returns to products page",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1596","Valid login with standard user","","Mon May 18 13:08:36 UTC 2026","broken","Mon May 18 13:08:38 UTC 2026","","User Authentication","Valid login with standard user",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1585","Sort products by price low to high","","Mon May 18 13:08:31 UTC 2026","broken","Mon May 18 13:08:33 UTC 2026","","Product Filtering and Sorting","Sort products by price low to high",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1623","Reset app state clears the cart","","Mon May 18 13:08:18 UTC 2026","broken","Mon May 18 13:08:20 UTC 2026","","Shopping Cart","Reset app state clears the cart",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1968","Add single product and verify cart badge updates","","Mon May 18 13:08:13 UTC 2026","broken","Mon May 18 13:08:15 UTC 2026","","Shopping Cart","Add single product and verify cart badge updates",""
"  As a logged-in user
  I want to filter and sort the product list
  So that I can find products more easily","1589","Toggle product list view","","Mon May 18 13:08:26 UTC 2026","broken","Mon May 18 13:08:28 UTC 2026","","Product Filtering and Sorting","Toggle product list view",""
"  As a mobile app user
  I want to log in with valid or invalid credentials
  So that I can access or be denied access appropriately","1675","Invalid login with wrong password shows error","","Mon May 18 13:08:44 UTC 2026","broken","Mon May 18 13:08:46 UTC 2026","","User Authentication","Invalid login with wrong password shows error",""
"  As a logged-in user
  I want to manage products in my cart
  So that I can review and proceed to checkout","1593","Cart total matches sum of individual product prices","","Mon May 18 13:08:20 UTC 2026","broken","Mon May 18 13:08:21 UTC 2026","","Shopping Cart","Cart total matches sum of individual product prices",""
